,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL
0,w0132info.weebly.com,29,0,1,0,0,1,0
1,bafkreib6n2ro7o4fysywfon2hrao2he4u4l2xhqq7dqgrt3nlfgddzrzo4.ipfs.nftstorage.link,88,0,1,0,0,0,0
2,usp.usspos.top,23,0,1,0,0,1,0
3,rck.lgu.mybluehost.me,46,3,1,0,0,1,0
4,pub-51cf6f6d1aa843d8b4dbade26f9dfe0b.r2.dev,66,1,1,0,1,2,0
5,libparis.fr,51,4,1,0,0,1,0
6,im-creator.com,51,2,0,0,1,1,0
7,docs.google.com,190,5,1,0,0,1,0
8,vps4698.inmotionhosting.com,82,3,1,0,0,2,0
9,moonveda.com,59,4,1,0,0,2,1
10,mypicturegallery.weebly.com,36,0,1,0,0,1,0
11,beshummar.page.link,32,1,1,0,0,1,0
12,mtpost-id2871.web.app,30,0,1,0,1,1,0
13,secubanrural.webcindario.com,37,0,1,0,0,1,0
14,network360000.firebaseapp.com,38,0,1,0,0,1,0
15,tinyurl.com,42,1,1,1,0,1,0
16,nftstorage.link,88,3,1,0,0,2,0
17,usp.usspzv.top,28,1,1,0,0,1,0
18,petronilho.com.br,32,0,1,0,0,1,0
19,bafybeigpu6o3iua3bqngxeolo4u6kaej4qgp3ezzdxvkenz7zyz7ig23tq.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
20,att-sign-in-105184.weeblysite.com,42,0,1,0,1,1,0
21,kmnmsaklcmndalkndads-03030-3093094nm.weeblysite.com,60,0,1,0,1,1,0
22,bg3.pages.dev,2164,22,1,0,0,23,1
23,swaip-poocoin-app.blogspot.com,39,0,1,1,1,1,0
24,usp.usspzb.top,23,0,1,0,0,1,0
25,docs.google.com,175,5,1,0,0,1,0
26,green-haze-3357.on.fleek.co,34,0,0,0,1,0,0
27,connect-poocoin-login-tokens.blogspot.com,50,0,1,1,1,1,1
28,bafybeiepewacbd2wtqpqwclz25mvlj7pnigwdciw7sdemrxy3rj2orlihy.ipfs.cf-ipfs.com,85,0,1,0,1,1,0
29,binancevcxq.web.app,28,0,1,0,0,1,0
30,kisa.link,27,1,1,0,0,1,0
31,new.express.adobe.com,51,2,1,0,0,1,0
32,43.134.167.94,255,1,1,0,0,1,1
33,banruralbancavirtual-verificaciones.hstn.me,55,0,0,0,1,1,0
34,cloudflare-ipfs.com,92,2,1,0,1,1,0
35,cf-ipfs.com,81,3,1,0,1,2,0
36,bafybeifkelokepwtazzdqtycnnf6wasumquvyj2jeygz4hvvvpu5wsmmaq.ipfs.cf-ipfs.com,85,0,1,0,1,1,0
37,cardservices-fmbnc.firebaseapp.com,43,0,1,0,1,1,0
38,cloudflare-ipfs.com,97,3,1,0,1,1,0
39,cloudflare-ipfs.com,93,2,1,0,1,1,0
40,vk.com,115,1,1,0,0,2,0
41,bibienvenido.webcindario.com,37,0,1,0,0,1,0
