url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL,dns,domainAge,domainEnd,iframe,forwarding,label
29,0,1,0,0,1,0,1,1,1,0,0,1
88,0,1,0,0,0,0,1,1,1,0,0,1
23,0,1,0,0,1,0,1,1,1,1,0,1
46,3,1,0,0,1,0,1,1,1,1,0,1
66,1,1,0,1,2,0,1,1,1,1,0,1
51,4,1,0,0,1,0,1,1,1,1,0,1
51,2,0,0,1,1,0,1,1,1,0,0,1
190,5,1,0,0,1,0,1,1,1,0,0,1
82,3,1,0,0,2,0,1,1,1,1,0,1
59,4,1,0,0,2,1,1,1,1,1,0,1
36,0,1,0,0,1,0,1,1,1,0,0,1
32,1,1,0,0,1,0,1,1,1,1,0,1
30,0,1,0,1,1,0,1,1,1,1,0,1
37,0,1,0,0,1,0,1,1,1,0,0,1
38,0,1,0,0,1,0,1,1,1,1,0,1
42,1,1,1,0,1,0,1,1,1,0,0,1
88,3,1,0,0,2,0,1,1,1,1,0,1
28,1,1,0,0,1,0,1,1,1,1,0,1
32,0,1,0,0,1,0,1,1,1,0,0,1
84,0,1,0,1,0,0,1,1,1,1,0,1
42,0,1,0,1,1,0,1,1,1,0,0,1
60,0,1,0,1,1,0,1,1,1,1,0,1
2164,22,1,0,0,23,1,1,1,1,0,0,1
39,0,1,1,1,1,0,1,1,1,0,0,1
23,0,1,0,0,1,0,1,1,1,1,0,1
175,5,1,0,0,1,0,1,1,1,0,0,1
34,0,0,0,1,0,0,1,1,1,0,0,1
50,0,1,1,1,1,1,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,1,0,1
28,0,1,0,0,1,0,1,1,1,1,0,1
27,1,1,0,0,1,0,1,1,1,0,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
255,1,1,0,0,1,1,1,1,1,0,0,1
55,0,0,0,1,1,0,1,1,1,1,0,1
92,2,1,0,1,1,0,1,1,1,0,0,1
81,3,1,0,1,2,0,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,0,0,1
43,0,1,0,1,1,0,1,1,1,1,0,1
97,3,1,0,1,1,0,1,1,1,1,0,1
93,2,1,0,1,1,0,1,1,1,1,0,1
115,1,1,0,0,2,0,1,1,1,1,0,1
37,0,1,0,0,1,0,1,1,1,0,0,1
80,2,1,0,0,1,0,1,1,1,0,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
92,2,1,0,1,1,0,1,1,1,0,0,1
24,0,1,0,0,1,0,1,1,1,0,0,1
23,0,1,1,0,1,0,1,1,1,1,0,1
45,0,1,0,1,1,1,1,1,1,0,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
106,3,1,0,1,2,0,1,1,1,0,0,1
40,2,1,0,0,1,0,1,1,1,0,1,1
104,3,1,0,1,2,0,1,1,1,0,0,1
40,0,1,0,1,1,0,1,1,1,0,0,1
34,0,1,0,0,1,0,1,1,1,1,1,1
26,0,1,0,0,1,0,1,1,1,1,0,1
26,1,1,0,0,1,0,1,1,1,1,1,1
175,5,1,0,0,1,0,1,1,1,0,0,1
